coin_name,spider_web,frequency,time
BONK,binance,2.0,2024-11-26 15:00:00
BONK,binance,2.0,2024-11-26 15:00:00
BONK,binance,2.0,2024-11-26 15:00:00
BONK,binance,2.0,2024-11-26 15:00:00
BONK,binance,2.0,2024-11-26 15:00:00
CRV,binance,2.0,2024-11-26 15:00:00
CRV,binance,2.0,2024-11-26 15:00:00
CRV,binance,2.0,2024-11-26 15:00:00
DOG,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
ELF,inversting,2.0,2024-11-26 15:00:00
GROK,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
HIPPO,inversting,2.0,2024-11-26 15:00:00
ICP,binance,2.0,2024-11-26 15:00:00
ICP,inversting,2.0,2024-11-26 15:00:00
MANA,binance,2.0,2024-11-26 15:00:00
MOG,inversting,3.0,2024-11-26 14:00:00
PUFFER,inversting,2.0,2024-11-26 15:00:00
PUFFER,inversting,2.0,2024-11-26 15:00:00
PUFFER,inversting,2.0,2024-11-26 15:00:00
PUFFER,inversting,2.0,2024-11-26 15:00:00
REEF,inversting,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,binance,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SAND,inversting,2.0,2024-11-26 15:00:00
SLERF,inversting,2.0,2024-11-26 15:00:00
VVAIFU,inversting,3.0,2024-11-26 14:00:00
VVAIFU,inversting,3.0,2024-11-26 14:00:00
VVAIFU,inversting,3.0,2024-11-26 14:00:00
XLM,binance,2.0,2024-11-26 15:00:00
XLM,binance,2.0,2024-11-26 15:00:00
XLM,binance,2.0,2024-11-26 15:00:00
XLM,binance,2.0,2024-11-26 15:00:00
XLM,binance,2.0,2024-11-26 15:00:00
XLM,inversting,2.0,2024-11-26 15:00:00
XLM,inversting,2.0,2024-11-26 15:00:00
XLM,inversting,2.0,2024-11-26 15:00:00
XLM,inversting,2.0,2024-11-26 15:00:00
XLM,inversting,2.0,2024-11-26 15:00:00
AI,binance,1.0,2024-11-26 16:00:00
BONK,inversting,1.0,2024-11-26 16:00:00
BONK,inversting,1.0,2024-11-26 16:00:00
CFX,inversting,1.0,2024-11-26 16:00:00
CVX,binance,1.0,2024-11-26 16:00:00
CVX,inversting,1.0,2024-11-26 16:00:00
DOGS,binance,1.0,2024-11-26 16:00:00
DOGS,inversting,1.0,2024-11-26 16:00:00
MATIC,inversting,1.0,2024-11-26 16:00:00
MATIC,inversting,1.0,2024-11-26 16:00:00
NEO,binance,1.0,2024-11-26 16:00:00
POL,binance,1.0,2024-11-26 16:00:00
POL,binance,1.0,2024-11-26 16:00:00
QTUM,inversting,1.0,2024-11-26 16:00:00
REZ,binance,1.0,2024-11-26 16:00:00
REZ,binance,1.0,2024-11-26 16:00:00
REZ,binance,1.0,2024-11-26 16:00:00
REZ,binance,1.0,2024-11-26 16:00:00
REZ,binance,1.0,2024-11-26 16:00:00
REZ,binance,1.0,2024-11-26 16:00:00
SSV,binance,1.0,2024-11-26 16:00:00
SSV,binance,1.0,2024-11-26 16:00:00
SSV,binance,1.0,2024-11-26 16:00:00
SSV,binance,1.0,2024-11-26 16:00:00
SSV,binance,1.0,2024-11-26 16:00:00
SSV,inversting,1.0,2024-11-26 16:00:00
SSV,inversting,1.0,2024-11-26 16:00:00
SSV,inversting,1.0,2024-11-26 16:00:00
SSV,inversting,1.0,2024-11-26 16:00:00
SSV,inversting,1.0,2024-11-26 16:00:00
STRK,inversting,1.0,2024-11-26 16:00:00
STRK,inversting,1.0,2024-11-26 16:00:00
TIA,binance,1.0,2024-11-26 16:00:00
TIA,inversting,1.0,2024-11-26 16:00:00
TNSR,binance,1.0,2024-11-26 16:00:00
TNSR,binance,1.0,2024-11-26 16:00:00
TNSR,inversting,1.0,2024-11-26 16:00:00
YFI,inversting,1.0,2024-11-26 16:00:00
