coin_name,spider_web,virtual_drop_A,virtual_drop_B,time_A,time_B,condition,func
LUMIA,binance,1.219,2.574,11-25 13:00,11-25 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
LUMIA,binance,1.219,2.574,11-25 13:00,11-25 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BETA,inversting,1.605,1.211,11-25 02:00,11-25 18:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BETA,inversting,1.605,1.211,11-25 02:00,11-25 18:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BETA,inversting,1.605,1.211,11-25 02:00,11-25 18:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NEAR,inversting,1.564,1.162,11-25 09:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MBOX,binance,1.636,1.243,11-25 09:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MBOX,binance,1.636,1.243,11-25 09:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
HIGHs,inversting,1.368,1.406,11-25 18:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
HIGHs,inversting,1.368,1.406,11-25 18:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
HIGHs,inversting,1.368,1.406,11-25 18:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
DIA,inversting,1.205,1.220,11-25 05:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOODENGv,inversting,2.305,2.859,11-25 02:00,11-25 23:00,change <=-0.7,apply_condition_1_to_func_1_base
DIA,inversting,1.205,1.220,11-25 05:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOODENGv,inversting,2.305,2.859,11-25 02:00,11-25 23:00,change <=-0.7,apply_condition_1_to_func_1_base
DIA,inversting,1.205,1.220,11-25 05:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOODENGv,inversting,2.305,2.859,11-25 02:00,11-25 23:00,change <=-0.7,apply_condition_1_to_func_1_base
MODEn,inversting,1.561,1.347,11-25 18:00,11-25 23:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MODEn,inversting,1.561,1.347,11-25 18:00,11-25 23:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CLV,binance,2.326,1.345,11-25 21:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CLV,binance,2.326,1.345,11-25 21:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CLV,binance,2.326,1.345,11-25 21:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BILLY,inversting,1.182,1.180,11-25 16:00,11-26 04:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BILLY,inversting,1.182,1.180,11-25 16:00,11-26 04:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BILLY,inversting,1.182,1.180,11-25 16:00,11-26 04:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WELSH,inversting,3.704,3.084,11-25 23:00,11-26 04:00,change <=-0.7,apply_condition_1_to_func_1_base
PLU,inversting,1.339,1.843,11-26 04:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
PLU,inversting,1.339,1.843,11-26 04:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
PLU,inversting,1.339,1.843,11-26 04:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
LRC,binance,2.137,1.582,11-25 09:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
LRC,binance,2.137,1.582,11-25 09:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
LRC,binance,2.137,1.582,11-25 09:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
RAD,binance,1.363,1.309,11-25 18:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
RAD,binance,1.363,1.309,11-25 18:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
RAD,binance,1.363,1.309,11-25 18:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
EIGEN,binance,2.604,1.193,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MASA,inversting,1.287,2.437,11-25 19:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
EIGEN,binance,2.604,1.193,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ENJ,inversting,1.742,1.786,11-25 21:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
EIGEN,inversting,2.453,1.416,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
EIGEN,binance,2.604,1.193,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ENJ,inversting,1.742,1.786,11-25 21:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
ENJ,inversting,1.742,1.786,11-25 21:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
MASA,inversting,1.287,2.437,11-25 19:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
MASA,inversting,1.287,2.437,11-25 19:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
MAGA,inversting,1.497,3.130,11-26 05:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
FLUX,binance,1.138,1.177,11-26 04:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
FLUX,binance,1.138,1.177,11-26 04:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
FLUX,binance,1.138,1.177,11-26 04:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BONE,inversting,3.637,1.692,11-25 20:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
BONE,inversting,3.637,1.692,11-25 20:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
BONE,inversting,3.637,1.692,11-25 20:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
SPEC,inversting,1.224,1.353,11-26 01:00,11-26 13:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
SPEC,inversting,1.224,1.353,11-26 01:00,11-26 13:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
PONKE,inversting,1.231,2.022,11-25 18:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
PONKE,inversting,1.231,2.022,11-25 18:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MAVIA,inversting,1.579,2.267,11-26 05:00,11-26 11:00,change <=-0.7,apply_condition_1_to_func_1_base
PHIL,inversting,2.367,1.154,11-25 21:00,11-26 16:00,change <=-0.7,apply_condition_1_to_func_1_base
TNSR,binance,1.155,1.539,11-25 18:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
APU,inversting,1.271,1.388,11-25 19:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CATs,inversting,1.319,3.019,11-25 18:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
COREUM,inversting,1.980,1.365,11-26 03:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ENS,binance,1.525,1.486,11-26 00:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
GALA,inversting,2.679,1.591,11-25 18:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
TAO,binance,2.351,1.124,11-26 06:00,11-26 15:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MAVIA,inversting,1.579,2.267,11-26 05:00,11-26 11:00,change <=-0.7,apply_condition_1_to_func_1_base
MAVIA,inversting,1.579,2.267,11-26 05:00,11-26 11:00,change <=-0.7,apply_condition_1_to_func_1_base
COREUM,inversting,1.980,1.365,11-26 03:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MODEn,inversting,1.561,1.347,11-25 18:00,11-25 23:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOG,inversting,1.434,1.115,11-25 20:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOG,inversting,1.434,1.115,11-25 20:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOODENGv,inversting,2.859,1.383,11-25 23:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
MOODENGv,inversting,2.859,1.383,11-25 23:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
COREUM,inversting,1.980,1.365,11-26 03:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOG,inversting,1.434,1.115,11-25 20:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOODENG,inversting,1.551,1.445,11-26 00:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
COREUM,inversting,1.980,1.365,11-26 03:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOG,inversting,1.434,1.115,11-25 20:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOODENG,inversting,1.551,1.445,11-26 00:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
APU,inversting,1.271,1.388,11-25 19:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ZEN,inversting,1.706,1.125,11-26 01:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NIKO,inversting,3.425,1.540,11-26 05:00,11-26 15:00,change <=-0.7,apply_condition_1_to_func_1_base
APU,inversting,1.271,1.388,11-25 19:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
COREUM,inversting,1.980,1.365,11-26 03:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NIKO,inversting,3.425,1.540,11-26 05:00,11-26 15:00,change <=-0.7,apply_condition_1_to_func_1_base
APU,inversting,1.271,1.388,11-25 19:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOG,inversting,1.434,1.115,11-25 20:00,11-26 00:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NIKO,inversting,3.425,1.540,11-26 05:00,11-26 15:00,change <=-0.7,apply_condition_1_to_func_1_base
MOODENGv,inversting,2.859,1.383,11-25 23:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
COSt,inversting,1.713,1.926,11-25 23:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
GME,inversting,1.280,1.793,11-25 19:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WEN,inversting,1.555,3.144,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WEN,inversting,1.555,3.144,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BURGER,inversting,1.394,1.240,11-26 01:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CFX,binance,1.433,1.195,11-26 01:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MATIC,inversting,1.264,1.384,11-25 19:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
POL,binance,1.179,1.488,11-25 19:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
LEVER,binance,1.514,1.166,11-26 01:00,11-26 17:00,change <=-0.7,apply_condition_1_to_func_1_base
BURGER,inversting,1.394,1.240,11-26 01:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CFX,binance,1.433,1.195,11-26 01:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MATIC,inversting,1.264,1.384,11-25 19:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
POL,binance,1.179,1.488,11-25 19:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WEN,inversting,1.555,3.144,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ALPHA,binance,2.116,1.233,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
AMPt,inversting,1.490,1.905,11-25 21:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CATs,inversting,1.669,3.019,11-26 01:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CTSI,binance,1.712,1.202,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
DYDX,binance,1.101,1.193,11-25 21:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
EGLD,inversting,1.132,1.419,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
FLUX,binance,1.138,1.177,11-26 04:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
GALA,binance,1.192,1.643,11-26 00:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
GROK,inversting,1.364,1.288,11-25 19:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
IO,binance,1.389,1.161,11-26 00:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NEAR,binance,1.104,1.700,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NEIRO,inversting,1.658,2.781,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
PYTH,binance,1.369,1.499,11-25 21:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
SCR,binance,2.632,1.228,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
SPELL,binance,1.392,1.167,11-26 00:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
W,binance,1.175,1.267,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WIF,binance,1.438,1.315,11-26 00:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
LEVER,binance,1.514,1.166,11-26 01:00,11-26 17:00,change <=-0.7,apply_condition_1_to_func_1_base
AEVO,binance,1.643,1.640,11-25 19:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
ALPHA,inversting,2.321,3.149,11-25 21:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
BOME,binance,1.211,2.875,11-26 00:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
BONE,inversting,3.637,1.692,11-25 20:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
CHR,binance,1.804,3.586,11-26 01:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
FXS,inversting,2.496,1.102,11-26 06:00,11-26 17:00,change <=-0.7,apply_condition_1_to_func_1_base
IOTX,inversting,2.284,3.477,11-26 01:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
LDO,binance,1.800,1.666,11-26 05:00,11-26 16:00,change <=-0.7,apply_condition_1_to_func_1_base
AMPt,inversting,1.490,1.905,11-25 21:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BURGER,inversting,1.394,1.240,11-26 01:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CFX,binance,1.433,1.195,11-26 01:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CTSI,binance,1.712,1.202,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
EGLD,inversting,1.132,1.419,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
FLUX,binance,1.138,1.177,11-26 04:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
GALA,binance,1.192,1.643,11-26 00:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
GROK,inversting,1.364,1.288,11-25 19:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
IO,binance,1.389,1.161,11-26 00:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MATIC,inversting,1.264,1.384,11-25 19:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NEAR,binance,1.104,1.700,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
POL,binance,1.179,1.488,11-25 19:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
PYTH,binance,1.369,1.499,11-25 21:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
SCR,binance,2.632,1.228,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
SPELL,binance,1.392,1.167,11-26 00:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WIF,binance,1.438,1.315,11-26 00:00,11-26 01:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ZEN,inversting,1.706,1.125,11-26 01:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
1INCH,binance,1.759,1.350,11-26 00:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ALICE,binance,1.455,1.166,11-26 01:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
AMP,binance,1.477,2.166,11-25 21:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ARPA,inversting,2.013,1.183,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BAKE,inversting,1.229,1.154,11-26 00:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
BONK,inversting,1.199,1.411,11-25 20:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
CAKE,inversting,1.142,2.741,11-25 21:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
DUSK,inversting,1.439,1.237,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
DYDX,inversting,1.171,1.319,11-25 21:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
ENS,inversting,1.340,1.444,11-26 00:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
HIGH,binance,1.195,1.171,11-25 19:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
HIGHs,inversting,1.406,3.339,11-26 00:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
LINA,inversting,1.209,3.584,11-26 01:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MAGIC,binance,1.144,1.296,11-25 21:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
MOCA,inversting,2.556,1.210,11-26 10:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
NEIRO,binance,2.108,1.128,11-25 21:00,11-26 05:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
RLC,inversting,2.230,1.249,11-26 01:00,11-26 17:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
RSR,inversting,1.520,1.430,11-26 00:00,11-26 11:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
SXP,inversting,1.258,2.596,11-26 01:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
TRX,inversting,1.635,1.223,11-25 23:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
VRA,inversting,3.837,1.437,11-25 21:00,11-26 16:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
WOO,binance,1.863,3.559,11-25 21:00,11-26 06:00,A或者B前6小时存在跌幅 <= -2.4%,apply_condition_1_to_func_1_base
AEVO,binance,1.643,1.640,11-25 19:00,11-26 01:00,change <=-0.7,apply_condition_1_to_func_1_base
ALPHA,inversting,2.321,3.149,11-25 21:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
BOME,binance,1.211,2.875,11-26 00:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
CHR,binance,1.804,3.586,11-26 01:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
FXS,inversting,2.496,1.102,11-26 06:00,11-26 17:00,change <=-0.7,apply_condition_1_to_func_1_base
IOTX,inversting,2.284,3.477,11-26 01:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
LDO,binance,1.800,1.666,11-26 05:00,11-26 16:00,change <=-0.7,apply_condition_1_to_func_1_base
LEVER,binance,1.514,3.307,11-26 01:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
BB,inversting,1.106,1.678,11-25 19:00,11-26 05:00,change <=-0.7,apply_condition_1_to_func_1_base
MAVIA,inversting,1.579,2.267,11-26 05:00,11-26 11:00,change <=-0.7,apply_condition_1_to_func_1_base
NEO,binance,1.274,2.334,11-26 01:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
PUFFER,inversting,1.818,3.963,11-26 05:00,11-26 06:00,change <=-0.7,apply_condition_1_to_func_1_base
